,Month,BNT162b2,CoronaVac
Mar-Apr,1,50.90392,49.09608
May-Jun,2,72.50523,27.49477
Jul-Aug,3,80.03476,19.96524
Sep-Oct,4,82.4081,17.5919
Nov-Dec,5,82.42072,17.57928
