,Month,BNT162b2,CoronaVac
Mar-Apr,1,52.82595,47.17405
May-Jun,2,71.04082,28.95918
Jul-Aug,3,73.49464,26.50536
Sep-Oct,4,74.96315,25.03685
Nov-Dec,5,74.91205,25.08795
