,Month,BNT162b2,CoronaVac
Mar-Apr,1,34.98741,65.01259
May-Jun,2,53.13549,46.86451
Jul-Aug,3,52.26382,47.73618
Sep-Oct,4,52.57701,47.42299
Nov-Dec,5,52.4485,47.5515
