,Month,BNT162b2,CoronaVac
Mar-Apr,1,41.42224,58.57776
May-Jun,2,60.80565,39.19435
Jul-Aug,3,61.37484,38.62516
Sep-Oct,4,62.36933,37.63067
Nov-Dec,5,62.32199,37.67801
