,Month,BNT162b2,CoronaVac
Mar-Apr,1,23.6887,76.3113
May-Jun,2,34.97201,65.02799
Jul-Aug,3,38.20061,61.79939
Sep-Oct,4,35.71538,64.28462
Nov-Dec,5,35.06615,64.93385
