,Month,BNT162b2,CoronaVac
Mar-Apr,1,26.00551,73.99449
May-Jun,2,39.52331,60.47669
Jul-Aug,3,42.2016,57.7984
Sep-Oct,4,41.22018,58.77982
Nov-Dec,5,40.97952,59.02048
