,Month,BNT162b2,CoronaVac
Mar-Apr,1,78.34721,21.65279
May-Jun,2,85.80346,14.19654
Jul-Aug,3,94.12414,5.875858
Sep-Oct,4,94.47081,5.529193
Nov-Dec,5,94.00215,5.997854
