,Month,BNT162b2,CoronaVac
Mar-Apr,1,28.46378,71.53622
May-Jun,2,43.48925,56.51075
Jul-Aug,3,45.01065,54.98935
Sep-Oct,4,45.43177,54.56823
Nov-Dec,5,45.31888,54.68112
