,Month,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80 or above
Jan-Feb,1,0,0,0,0,0,0,0,0,0
Mar-Apr,2,0,0.547335,2.783851,6.671668,9.97593,9.300375,11.06942,7.904728,2.628671
May-Jun,3,0,4.57784,18.97008,27.02601,33.05103,27.11386,19.93273,12.69545,3.867845
Jul-Aug,4,0,32.70985,53.99827,59.05238,67.81444,61.5195,44.00961,28.23836,8.188153
Sep-Oct,5,0,43.96529,72.98949,73.97603,81.78486,75.96517,59.58052,40.62516,14.57168
Nov-Dec,6,0,45.09853,76.29306,77.1987,84.72088,79.24783,64.1351,46.14737,18.36038
